SaleID,Date,ProductID,Quantity,Unit Price,CustomerID,unit Cost
1,1/2/2025 0:00,P012,1,10000,C022,9820
2,2/23/2025 0:00,P008,1,1000,C004,1046
3,4/16/2025 0:00,P010,6,25000,C011,22512.5
4,9/17/2025 0:00,P001,1,30000,C008,31278
5,7/10/2025 0:00,P005,6,40000,C009,37112
6,8/6/2025 0:00,P003,1,25000,C026,21060
7,2/13/2025 0:00,P004,6,50000,C002,41450
8,6/11/2025 0:00,P002,3,25000,C016,25807.5
9,7/21/2025 0:00,P009,8,30000,C031,31587
10,9/27/2025 0:00,P003,6,40000,C006,37428
11,10/31/2025 0:00,P002,1,2000,C053,1984.2
12,9/28/2025 0:00,P010,5,50000,C021,44450
13,8/3/2025 0:00,P011,8,15000,C026,12655.5
14,9/9/2025 0:00,P009,3,50000,C019,44425
15,7/9/2025 0:00,P007,6,10000,C028,9331
16,10/23/2025 0:00,P006,5,5000,C008,4493.5
17,8/1/2025 0:00,P001,6,15000,C014,12339
18,7/27/2025 0:00,P005,1,10000,C024,7717
19,8/25/2025 0:00,P012,7,30000,C048,27564
20,2/22/2025 0:00,P011,9,1000,C044,892.3
21,10/7/2025 0:00,P011,2,40000,C037,32848
22,8/5/2025 0:00,P003,5,2000,C026,1571.2
23,9/9/2025 0:00,P001,4,2000,C031,2118
24,7/7/2025 0:00,P004,6,2000,C051,1968
25,2/10/2025 0:00,P002,6,3000,C032,3149.7
26,6/6/2025 0:00,P002,2,3000,C050,2506.5
27,1/15/2025 0:00,P003,2,30000,C041,27354
28,10/28/2025 0:00,P008,4,1000,C002,917.3
29,3/6/2025 0:00,P008,1,5000,C025,4130
30,1/9/2025 0:00,P012,9,5000,C052,4084
31,5/9/2025 0:00,P007,7,3000,C044,3165
32,5/16/2025 0:00,P006,7,50000,C002,38425
33,3/4/2025 0:00,P009,3,25000,C042,23807.5
34,5/19/2025 0:00,P004,3,10000,C001,9470
35,3/22/2025 0:00,P012,1,3000,C036,2419.2
36,6/12/2025 0:00,P001,3,30000,C012,25971
37,10/16/2025 0:00,P008,3,4000,C009,3669.2
38,9/18/2025 0:00,P007,4,10000,C036,8016
39,8/19/2025 0:00,P007,4,50000,C041,47255
40,2/10/2025 0:00,P003,3,1000,C028,978.6
41,1/28/2025 0:00,P004,8,40000,C038,35528
42,5/15/2025 0:00,P010,8,5000,C033,4875
43,7/20/2025 0:00,P009,1,2000,C042,2077.8
44,9/25/2025 0:00,P006,7,50000,C046,43200
45,2/2/2025 0:00,P005,2,2000,C022,1984.8
46,2/17/2025 0:00,P003,1,15000,C025,12613.5
47,3/3/2025 0:00,P009,3,30000,C018,27480
48,8/4/2025 0:00,P005,4,5000,C006,4337
49,10/20/2025 0:00,P005,6,2000,C018,1881.6
50,4/9/2025 0:00,P004,5,2000,C052,1576.4
51,6/21/2025 0:00,P004,4,40000,C016,41520
52,8/2/2025 0:00,P012,8,2000,C015,1808
53,2/4/2025 0:00,P001,4,4000,C048,3172
54,8/15/2025 0:00,P007,2,1000,C008,1021.9
55,4/11/2025 0:00,P009,3,15000,C013,13542
56,5/11/2025 0:00,P003,6,10000,C055,10330
57,9/14/2025 0:00,P012,8,2000,C043,1996.8
58,1/5/2025 0:00,P002,8,15000,C007,13206
59,8/6/2025 0:00,P003,9,25000,C017,26072.5
60,9/12/2025 0:00,P001,7,50000,C050,48190
61,10/10/2025 0:00,P006,2,25000,C032,24025
62,7/26/2025 0:00,P011,8,50000,C022,49855
63,1/15/2025 0:00,P011,7,1000,C055,762.7
64,2/11/2025 0:00,P007,8,15000,C051,13116
65,6/28/2025 0:00,P011,3,40000,C013,36628
66,3/4/2025 0:00,P011,7,3000,C047,2950.8
67,8/19/2025 0:00,P002,9,2000,C023,1958
68,8/29/2025 0:00,P008,3,3000,C054,2341.2
69,2/21/2025 0:00,P006,6,15000,C029,12625.5
70,4/6/2025 0:00,P004,2,25000,C022,22510
71,8/10/2025 0:00,P005,2,3000,C001,2407.2
72,8/19/2025 0:00,P008,5,30000,C029,23820
73,8/25/2025 0:00,P003,5,5000,C048,4125.5
74,5/23/2025 0:00,P003,7,3000,C005,2493.3
75,6/20/2025 0:00,P011,2,50000,C035,40015
76,1/29/2025 0:00,P004,7,30000,C055,31728
77,2/5/2025 0:00,P001,5,2000,C010,1589.8
78,1/13/2025 0:00,P009,6,3000,C019,2436.3
79,6/9/2025 0:00,P008,8,30000,C037,25770
80,7/6/2025 0:00,P008,4,15000,C007,15777
81,8/31/2025 0:00,P010,7,5000,C046,5113
82,3/27/2025 0:00,P006,6,2000,C035,1697.8
83,10/11/2025 0:00,P007,2,5000,C045,4553
84,3/7/2025 0:00,P006,8,2000,C013,2067.6
85,6/19/2025 0:00,P009,9,40000,C010,36820
86,2/14/2025 0:00,P003,5,40000,C002,33688
87,3/3/2025 0:00,P003,4,1000,C006,785.5
88,5/14/2025 0:00,P003,6,3000,C008,2303.7
89,10/11/2025 0:00,P010,8,2000,C036,1798
90,1/28/2025 0:00,P003,3,4000,C025,3152.4
91,4/18/2025 0:00,P009,1,10000,C044,7645
92,2/13/2025 0:00,P012,4,30000,C047,27963
93,10/13/2025 0:00,P004,4,2000,C040,1823.2
94,5/8/2025 0:00,P007,1,15000,C007,12849
95,8/19/2025 0:00,P009,9,3000,C046,2589.9
96,7/9/2025 0:00,P011,3,15000,C023,15252
97,8/13/2025 0:00,P012,5,10000,C019,10383
98,10/10/2025 0:00,P007,6,1000,C046,913.3
99,5/1/2025 0:00,P009,8,4000,C022,3378.8
100,4/26/2025 0:00,P012,6,10000,C013,9073
101,8/21/2025 0:00,P003,3,5000,C021,4808.5
102,9/16/2025 0:00,P004,6,5000,C001,4043.5
103,7/17/2025 0:00,P008,1,50000,C019,38570
104,5/17/2025 0:00,P006,4,25000,C033,23400
105,6/14/2025 0:00,P005,6,2000,C004,1526.2
106,8/13/2025 0:00,P004,7,25000,C042,19712.5
107,8/22/2025 0:00,P008,3,10000,C003,9961
108,6/21/2025 0:00,P001,9,4000,C027,3171.2
109,6/1/2025 0:00,P009,7,5000,C052,4442
110,6/9/2025 0:00,P001,1,1000,C041,1024.5
111,4/6/2025 0:00,P008,2,1000,C035,966.1
112,8/21/2025 0:00,P004,1,40000,C028,37460
113,6/29/2025 0:00,P009,9,5000,C006,4221.5
114,4/23/2025 0:00,P011,9,3000,C006,2736.3
115,2/21/2025 0:00,P005,7,4000,C055,4139.6
116,9/25/2025 0:00,P003,3,40000,C044,41436
117,10/22/2025 0:00,P009,5,2000,C023,1525.2
118,4/23/2025 0:00,P011,4,2000,C033,1685
119,4/11/2025 0:00,P009,7,2000,C016,1888
120,4/23/2025 0:00,P004,9,15000,C024,13597.5
121,3/22/2025 0:00,P011,2,40000,C005,42112
122,7/6/2025 0:00,P004,8,15000,C041,14479.5
123,4/23/2025 0:00,P012,9,25000,C042,24637.5
124,1/2/2025 0:00,P008,9,5000,C013,4185.5
125,5/10/2025 0:00,P002,7,3000,C047,2748
126,8/8/2025 0:00,P009,9,10000,C012,10240
127,2/23/2025 0:00,P006,9,5000,C005,5109
128,8/12/2025 0:00,P009,3,4000,C037,3483.6
129,8/13/2025 0:00,P008,4,30000,C031,28542
130,5/6/2025 0:00,P007,2,40000,C028,39080
131,5/10/2025 0:00,P001,3,5000,C028,4987.5
132,2/22/2025 0:00,P012,5,30000,C030,24936
133,6/21/2025 0:00,P003,5,5000,C018,4075
134,8/6/2025 0:00,P011,6,1000,C044,835.4
135,6/9/2025 0:00,P002,7,40000,C027,33296
136,7/17/2025 0:00,P005,7,25000,C035,26297.5
137,9/4/2025 0:00,P005,1,40000,C026,36244
138,7/22/2025 0:00,P005,2,15000,C039,12030
139,7/3/2025 0:00,P004,9,3000,C049,2834.1
140,5/3/2025 0:00,P005,2,10000,C051,10159
141,9/12/2025 0:00,P003,6,2000,C018,1849.8
142,10/21/2025 0:00,P012,1,10000,C033,8465
143,10/7/2025 0:00,P001,3,5000,C025,4582
144,4/8/2025 0:00,P005,2,4000,C031,3548
145,7/17/2025 0:00,P009,3,4000,C037,3181.6
146,8/28/2025 0:00,P009,5,10000,C002,9881
147,5/24/2025 0:00,P004,6,1000,C033,1029.9
148,4/7/2025 0:00,P003,9,25000,C039,22840
149,7/20/2025 0:00,P001,4,30000,C043,28233
150,5/4/2025 0:00,P002,7,4000,C043,3932
151,7/6/2025 0:00,P008,6,5000,C032,4052.5
152,9/16/2025 0:00,P001,2,25000,C018,25640
153,5/28/2025 0:00,P008,8,2000,C017,1740
154,9/9/2025 0:00,P007,7,1000,C034,933.6
155,5/27/2025 0:00,P008,7,3000,C039,3157.5
156,5/28/2025 0:00,P012,8,5000,C007,3932.5
157,7/18/2025 0:00,P006,1,10000,C042,10220
158,5/8/2025 0:00,P012,1,15000,C054,13143
159,2/8/2025 0:00,P009,8,1000,C053,814.5
160,5/9/2025 0:00,P003,4,4000,C035,3550.4
161,9/24/2025 0:00,P010,5,2000,C030,1855.4
162,5/31/2025 0:00,P004,8,4000,C012,3412
163,10/25/2025 0:00,P006,5,40000,C035,30656
164,4/9/2025 0:00,P008,4,25000,C011,25727.5
165,9/20/2025 0:00,P005,6,1000,C044,995.8
166,9/9/2025 0:00,P003,5,2000,C004,1907
167,5/24/2025 0:00,P006,7,4000,C025,3630.4
168,4/22/2025 0:00,P004,7,30000,C048,28383
169,3/1/2025 0:00,P009,4,2000,C032,1784.2
170,1/2/2025 0:00,P003,5,2000,C020,1968
171,10/31/2025 0:00,P004,3,10000,C050,8833
172,9/11/2025 0:00,P007,4,10000,C031,7927
173,5/20/2025 0:00,P007,4,1000,C004,887.8
174,2/6/2025 0:00,P012,3,1000,C054,1051.3
175,6/9/2025 0:00,P012,5,3000,C038,2899.2
176,1/9/2025 0:00,P004,5,40000,C053,33740
177,8/21/2025 0:00,P006,7,50000,C047,40330
178,4/9/2025 0:00,P012,4,30000,C001,23361
179,5/27/2025 0:00,P003,4,10000,C003,8414
180,10/31/2025 0:00,P006,9,50000,C037,45555
181,7/27/2025 0:00,P012,6,50000,C022,39610
182,5/11/2025 0:00,P002,4,5000,C017,3857
183,6/1/2025 0:00,P008,2,40000,C014,39692
184,2/23/2025 0:00,P002,6,15000,C041,12963
185,4/30/2025 0:00,P011,2,15000,C035,11634
186,6/10/2025 0:00,P007,5,10000,C013,8785
187,4/26/2025 0:00,P009,6,4000,C035,3894.4
188,3/16/2025 0:00,P001,4,2000,C043,1740
189,4/23/2025 0:00,P008,3,4000,C002,3697.6
190,4/14/2025 0:00,P007,7,40000,C047,35232
191,9/11/2025 0:00,P006,2,40000,C013,34668
192,8/15/2025 0:00,P006,6,25000,C051,20675
193,4/22/2025 0:00,P006,4,50000,C054,45825
194,4/9/2025 0:00,P009,6,25000,C016,19677.5
195,6/2/2025 0:00,P002,4,4000,C018,3770
196,7/13/2025 0:00,P001,4,4000,C007,3149.2
197,6/12/2025 0:00,P012,4,50000,C045,45555
198,7/27/2025 0:00,P006,9,15000,C036,13803
199,6/18/2025 0:00,P010,7,10000,C041,9742
200,6/10/2025 0:00,P011,3,30000,C030,26832
201,3/9/2025 0:00,P008,3,15000,C042,12177
202,10/16/2025 0:00,P003,6,5000,C041,3916
203,10/4/2025 0:00,P012,6,40000,C007,37428
204,10/31/2025 0:00,P010,4,30000,C015,24519
205,5/15/2025 0:00,P001,9,1000,C040,957.5
206,7/14/2025 0:00,P009,4,30000,C019,28536
207,5/8/2025 0:00,P001,9,30000,C043,28290
208,2/2/2025 0:00,P003,4,15000,C037,11820
209,6/25/2025 0:00,P008,2,40000,C002,42380
210,1/22/2025 0:00,P003,2,30000,C042,23865
211,8/26/2025 0:00,P004,5,5000,C048,4615.5
212,6/7/2025 0:00,P008,4,15000,C055,15693
213,2/7/2025 0:00,P001,7,15000,C013,15369
214,8/18/2025 0:00,P006,5,30000,C040,26514
215,2/20/2025 0:00,P001,6,50000,C041,46700
216,9/21/2025 0:00,P001,4,40000,C043,35640
217,10/10/2025 0:00,P008,2,4000,C043,4054.4
218,1/27/2025 0:00,P011,9,4000,C055,3819.6
219,8/14/2025 0:00,P004,7,2000,C031,1814.6
220,10/4/2025 0:00,P012,4,5000,C016,4287
221,10/13/2025 0:00,P001,3,4000,C042,3164
222,4/7/2025 0:00,P010,3,30000,C044,24951
223,10/11/2025 0:00,P007,9,4000,C006,3212.8
224,10/31/2025 0:00,P005,5,25000,C028,23812.5
225,5/27/2025 0:00,P005,3,25000,C032,21925
226,1/4/2025 0:00,P001,5,1000,C044,1054.3
227,2/4/2025 0:00,P010,2,40000,C010,37560
228,7/11/2025 0:00,P011,4,5000,C050,4610.5
229,2/18/2025 0:00,P006,2,15000,C018,14016
230,1/17/2025 0:00,P009,2,3000,C004,2562.9
231,6/21/2025 0:00,P009,8,10000,C009,8120
232,8/8/2025 0:00,P008,1,2000,C007,1686.2
233,6/7/2025 0:00,P005,7,3000,C050,2808
234,2/15/2025 0:00,P001,5,4000,C008,3896
235,1/6/2025 0:00,P009,8,5000,C043,5176
236,4/9/2025 0:00,P001,1,40000,C007,35820
237,8/21/2025 0:00,P008,7,40000,C041,34048
238,2/6/2025 0:00,P005,5,4000,C040,3131.6
239,10/7/2025 0:00,P003,4,30000,C003,26166
240,10/29/2025 0:00,P011,7,30000,C017,26889
241,6/30/2025 0:00,P007,2,3000,C002,2773.5
242,4/5/2025 0:00,P007,1,15000,C015,12028.5
243,4/9/2025 0:00,P009,1,1000,C046,966.5
244,7/7/2025 0:00,P007,1,30000,C029,30465
245,4/26/2025 0:00,P011,5,2000,C050,1916.8
246,7/10/2025 0:00,P003,7,5000,C048,4079.5
247,9/10/2025 0:00,P011,2,2000,C052,2025.6
248,6/10/2025 0:00,P001,8,1000,C022,1038.3
249,9/13/2025 0:00,P008,4,50000,C004,45270
250,5/8/2025 0:00,P012,3,50000,C052,43675
251,1/18/2025 0:00,P003,8,40000,C006,36064
252,10/8/2025 0:00,P012,2,30000,C038,29034
